[L]# 01:39:19-424  ThreadID:1 >> Landlord Server Start ...
[W]# 01:41:31-451  ThreadID:15 >> Token:995 Close:Success
[L]# 01:41:31-507  ThreadID:1 >> Token:995 client offline.
[L]# 01:41:31-511  ThreadID:15 >> RcvPack CMD:RequestRoomMsg
[L]# 01:41:31-511  ThreadID:15 >> RcvPack CMD:RequestRoomMsg
[W]# 01:41:31-509  ThreadID:1 >> Connection is break.cannot send net msg.
[L]# 01:41:31-514  ThreadID:15 >> RcvPack CMD:RequestRoomMsg
[L]# 01:41:31-519  ThreadID:15 >> RcvPack CMD:RequestRoomMsg
[W]# 01:41:32-749  ThreadID:9 >> Token:997 Close:Success
[L]# 01:41:32-797  ThreadID:1 >> Token:997 client offline.
[W]# 01:41:32-799  ThreadID:1 >> Connection is break.cannot send net msg.
[L]# 01:41:32-802  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:41:32-802  ThreadID:8 >> RcvPack CMD:RequestRoomMsg
[W]# 01:41:33-580  ThreadID:8 >> Token:998 Close:Success
[L]# 01:41:33-598  ThreadID:1 >> Token:998 client offline.
[W]# 01:41:33-599  ThreadID:1 >> Connection is break.cannot send net msg.
[L]# 01:41:33-603  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[W]# 01:41:34-692  ThreadID:9 >> Token:999 Close:Success
[L]# 01:41:34-697  ThreadID:1 >> Token:999 client offline.
[W]# 01:41:34-699  ThreadID:1 >> Connection is break.cannot send net msg.
